City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Nikolskoye,RU,59.7035,30.7861,44.49,97,47,5.03,scattered clouds
154,Hasaki,JP,35.7333,140.8333,82.29,66,2,17.56,clear sky
155,Cassilandia,BR,-19.1133,-51.7342,72.54,82,100,4.72,overcast clouds
156,Rundu,NA,-17.9333,19.7667,65.3,29,0,3.91,clear sky
157,Ahuimanu,US,21.4447,-157.8378,89.31,64,0,13.8,clear sky
158,Taga,RO,46.95,24.05,52.32,88,74,3.49,broken clouds
159,Nome,US,64.5011,-165.4064,47.16,53,0,8.05,clear sky
160,Keuruu,FI,62.2667,24.7,41.81,97,38,3.65,scattered clouds
161,Biograd Na Moru,HR,43.9433,15.4519,72.75,86,60,15.21,light rain
162,Abha,SA,18.2164,42.5053,59.25,51,0,0.0,clear sky
163,Karratha,AU,-20.7377,116.8463,77.4,61,5,12.97,clear sky
164,Kapuskasing,CA,49.4169,-82.4331,51.89,82,100,8.05,overcast clouds
165,Savannah Bight,HN,16.45,-85.85,82.35,68,100,14.38,overcast clouds
166,Malanje,AO,-9.5402,16.341,65.35,90,91,2.28,overcast clouds
167,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,86,30,1.74,scattered clouds
168,Clyde River,CA,70.4692,-68.5914,28.63,86,100,28.77,light snow
169,Torbay,CA,47.6666,-52.7314,49.57,93,0,8.05,clear sky
170,Lamu,KE,-2.2717,40.902,71.82,79,0,12.26,clear sky
171,Custodia,BR,-8.0875,-37.6431,69.44,74,52,8.55,broken clouds
172,Bengkulu,ID,-3.8004,102.2655,81.27,78,54,4.81,broken clouds
173,Tura,IN,25.5198,90.2201,81.41,77,34,1.81,scattered clouds
174,Yulara,AU,-25.2406,130.9889,76.26,19,100,12.48,overcast clouds
175,Burnie,AU,-41.0667,145.9167,56.91,51,1,6.33,clear sky
176,Ponta Do Sol,PT,32.6667,-17.1,70.43,85,99,6.4,overcast clouds
177,Saldanha,ZA,-33.0117,17.9442,57.06,79,62,12.97,broken clouds
178,Margate,GB,51.3813,1.3862,58.89,95,100,3.0,overcast clouds
179,Ossora,RU,59.2353,163.0719,45.43,65,100,3.83,overcast clouds
180,Erenhot,CN,43.6475,111.9767,75.54,27,0,20.71,clear sky
